| Werkzeug                   | Installierte Version | Prüfbefehl                 | Status |
| -------------------------- | -------------------- | -------------------------- | ------ |
| **Windows 11**             | **Version 25H2**     | `winver`                   | ✅      |
| **WSL Ubuntu**             | **24.04.4 LTS**      | `lsb_release -a`           | ✅      |
| **Git**                    | **2.43.0**           | `git --version`            | ✅      |
| **Docker Desktop**         | **4.73.1**           | `docker version`           | ✅      |
| **Docker Engine (Server)** | **29.4.3**           | `docker version`           | ✅      |
| **Docker Engine (Client)** | **29.3.1**           | `docker version`           | ✅      |
| **Docker Compose**         | **v5.1.3**           | `docker compose version`   | ✅      |
| **kubectl**                | **v1.34.1**          | `kubectl version --client` | ✅      |
| **Minikube**               | **v1.38.1**          | `minikube version`         | ✅      |
| **Helm**                   | **v4.2.3**           | `helm version`             | ✅      |
| **Node.js**                | **v18.19.1**         | `node -v`                  | ✅      |
| **npm**                    | **9.2.0**            | `npm -v`                   | ✅      |
| **Visual Studio Code**     | **1.130.0**          | `code --version`           | ✅      |
